epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,46059.1,0.94139,1.67375,1.44202,0.97671,0.81724,0.66894,0.74183,0.57389,0.79408,0.64396,0.7081,0.47151,0.83546,1.53415,1.25023,0.94063,0.00107216,0.00107216,0.00107216
74,46681.5,0.94151,1.67047,1.44243,0.97764,0.82043,0.66426,0.74292,0.57452,0.79305,0.64447,0.70825,0.47222,0.83493,1.53348,1.24905,0.94025,0.00105146,0.00105146,0.00105146
75,47309.4,0.94076,1.67645,1.43116,0.97552,0.82229,0.66274,0.74336,0.57476,0.79681,0.64248,0.70869,0.47274,0.8343,1.5324,1.24736,0.93974,0.00103073,0.00103073,0.00103073
76,47934.3,0.93723,1.65533,1.4206,0.97445,0.82076,0.66454,0.74385,0.57547,0.79878,0.64184,0.70918,0.47351,0.83374,1.53173,1.24661,0.93927,0.00101,0.00101,0.00101
77,48562,0.93668,1.66616,1.42512,0.97499,0.82137,0.66298,0.74418,0.5756,0.79528,0.64379,0.70938,0.4735,0.83303,1.53063,1.24538,0.93878,0.000989267,0.000989267,0.000989267
78,49186,0.93339,1.6595,1.41769,0.97294,0.82406,0.66361,0.74496,0.57582,0.80028,0.64332,0.71005,0.47387,0.83261,1.52957,1.24443,0.93853,0.000968543,0.000968543,0.000968543
79,49808.8,0.92758,1.65088,1.40205,0.97141,0.82661,0.66449,0.74536,0.57658,0.80019,0.64386,0.71063,0.47452,0.8324,1.52909,1.24305,0.93832,0.000947837,0.000947837,0.000947837
80,50430.2,0.93204,1.6465,1.40873,0.97251,0.82863,0.66422,0.74591,0.577,0.80468,0.64318,0.71083,0.47546,0.83209,1.52807,1.24188,0.93812,0.000927159,0.000927159,0.000927159
81,51054.1,0.92889,1.64757,1.40387,0.97176,0.82898,0.66504,0.74615,0.5774,0.80452,0.64427,0.7114,0.47596,0.83159,1.52686,1.24015,0.93795,0.000906517,0.000906517,0.000906517
82,51680,0.92617,1.6455,1.40285,0.97079,0.83074,0.66416,0.7467,0.57816,0.8109,0.64038,0.71169,0.47627,0.83108,1.52616,1.23892,0.93766,0.00088592,0.00088592,0.00088592
83,52301.8,0.92485,1.64184,1.39138,0.96928,0.83296,0.66419,0.7471,0.57886,0.81668,0.64,0.71324,0.47698,0.83079,1.52527,1.23796,0.93731,0.000865378,0.000865378,0.000865378
84,52936.2,0.927,1.64264,1.39612,0.96833,0.82702,0.66839,0.7473,0.57921,0.81625,0.64041,0.71362,0.4773,0.83029,1.5246,1.23694,0.93692,0.000844899,0.000844899,0.000844899
85,53564.7,0.92712,1.65086,1.39685,0.97002,0.82332,0.66988,0.74749,0.57963,0.81402,0.64307,0.71396,0.47754,0.82987,1.5238,1.23639,0.93669,0.000824492,0.000824492,0.000824492
86,54187.4,0.91634,1.62591,1.37735,0.96687,0.83702,0.66519,0.74784,0.58008,0.82002,0.64067,0.7144,0.47785,0.82937,1.52292,1.23572,0.93627,0.000804167,0.000804167,0.000804167
87,54812.9,0.92196,1.64107,1.38142,0.96723,0.8388,0.66467,0.74851,0.58049,0.82243,0.63922,0.71456,0.47814,0.82882,1.52206,1.23488,0.93592,0.000783933,0.000783933,0.000783933
88,55437,0.91594,1.63003,1.37532,0.96606,0.83626,0.66456,0.74876,0.5809,0.82069,0.63971,0.71493,0.47821,0.82829,1.52108,1.23427,0.93549,0.000763797,0.000763797,0.000763797
89,56068.4,0.91626,1.63371,1.36827,0.96578,0.83051,0.66705,0.74886,0.58138,0.82148,0.63968,0.71504,0.47902,0.82775,1.51999,1.23315,0.93522,0.000743769,0.000743769,0.000743769
90,56716.8,0.91677,1.62867,1.36123,0.96511,0.83206,0.66706,0.74908,0.5814,0.82038,0.64017,0.71491,0.47958,0.82737,1.51916,1.23247,0.93494,0.000723859,0.000723859,0.000723859
91,57346,0.91767,1.62843,1.36953,0.96731,0.83274,0.6668,0.74945,0.58174,0.82284,0.6406,0.71534,0.47996,0.82716,1.51872,1.23159,0.93475,0.000704073,0.000704073,0.000704073
92,57970.1,0.91307,1.62632,1.36045,0.96562,0.8263,0.67038,0.74976,0.58185,0.81938,0.64262,0.71535,0.47991,0.82665,1.51786,1.23045,0.9344,0.000684422,0.000684422,0.000684422
93,58604.4,0.90945,1.61729,1.35054,0.96515,0.82479,0.67167,0.74977,0.58171,0.822,0.64152,0.71567,0.48028,0.82653,1.517,1.2299,0.93428,0.000664914,0.000664914,0.000664914
94,59252.7,0.91127,1.62483,1.35791,0.96301,0.82855,0.67094,0.75015,0.58249,0.8197,0.6423,0.71558,0.48042,0.82632,1.51617,1.22903,0.93421,0.000645557,0.000645557,0.000645557
95,59888.8,0.91213,1.62736,1.35401,0.96434,0.83021,0.67133,0.75036,0.58304,0.82027,0.64234,0.71611,0.48067,0.82606,1.51547,1.22799,0.93399,0.00062636,0.00062636,0.00062636
96,60532.6,0.9081,1.61204,1.34148,0.96121,0.83038,0.67229,0.75034,0.58309,0.81901,0.643,0.71625,0.48088,0.82576,1.51474,1.22728,0.93379,0.000607331,0.000607331,0.000607331
97,61154.3,0.90789,1.6149,1.34173,0.96232,0.83156,0.67252,0.75078,0.58335,0.81656,0.64656,0.71648,0.48071,0.82552,1.51405,1.22656,0.93358,0.000588479,0.000588479,0.000588479
98,61776.9,0.90686,1.61238,1.34008,0.96067,0.83351,0.67353,0.75103,0.58369,0.81817,0.64736,0.71719,0.48083,0.82544,1.51343,1.22535,0.9335,0.000569811,0.000569811,0.000569811
99,62409.7,0.90054,1.60158,1.33319,0.96108,0.82925,0.67497,0.75133,0.58392,0.8137,0.64855,0.7175,0.48076,0.8252,1.51303,1.22442,0.93339,0.000551337,0.000551337,0.000551337
100,63033.7,0.89943,1.60092,1.32361,0.95857,0.83413,0.6719,0.75147,0.58444,0.81226,0.65145,0.7182,0.48156,0.82488,1.51244,1.22379,0.93312,0.000533064,0.000533064,0.000533064
101,63671.9,0.90001,1.59945,1.32308,0.9577,0.83168,0.67363,0.75203,0.58457,0.8123,0.65136,0.71856,0.48152,0.82438,1.51191,1.2229,0.93268,0.000515,0.000515,0.000515
102,64304.3,0.90247,1.60189,1.32731,0.95928,0.83142,0.6747,0.75229,0.58522,0.81182,0.65065,0.71825,0.4821,0.82406,1.51107,1.22193,0.93248,0.000497153,0.000497153,0.000497153
103,64930.8,0.8992,1.60168,1.32413,0.95889,0.83086,0.67618,0.75273,0.58551,0.80908,0.6519,0.71828,0.48258,0.82357,1.51033,1.22103,0.9322,0.000479531,0.000479531,0.000479531
104,65554.7,0.89734,1.59531,1.31525,0.95819,0.82833,0.67526,0.75274,0.58584,0.80818,0.65236,0.71796,0.48261,0.82321,1.50998,1.22059,0.9321,0.000462142,0.000462142,0.000462142
105,66174.6,0.89687,1.59333,1.31788,0.95857,0.82716,0.67745,0.75298,0.58612,0.8071,0.65295,0.71846,0.48256,0.82297,1.50931,1.21936,0.93192,0.000444994,0.000444994,0.000444994
106,66796,0.8949,1.59104,1.31506,0.95759,0.82196,0.67893,0.75312,0.58674,0.8004,0.65477,0.71842,0.48288,0.82302,1.50878,1.21909,0.93193,0.000428093,0.000428093,0.000428093
107,67419.5,0.89055,1.58247,1.30732,0.95674,0.82003,0.68045,0.75307,0.58658,0.79384,0.65974,0.71847,0.48296,0.82285,1.50811,1.21841,0.93185,0.000411447,0.000411447,0.000411447
108,68043.7,0.89325,1.58935,1.30323,0.95486,0.81878,0.68068,0.75301,0.58676,0.79363,0.65941,0.71883,0.48303,0.8225,1.50752,1.21749,0.9316,0.000395064,0.000395064,0.000395064
109,68666.4,0.88849,1.58019,1.29909,0.95484,0.82007,0.67988,0.7533,0.58685,0.79398,0.65884,0.71894,0.48307,0.82223,1.50742,1.216,0.9314,0.00037895,0.00037895,0.00037895
110,69289.6,0.89255,1.59325,1.30864,0.95756,0.82115,0.67854,0.7538,0.58731,0.79527,0.65897,0.71969,0.4839,0.82206,1.50696,1.21536,0.93128,0.000363114,0.000363114,0.000363114
111,69911.9,0.88944,1.58366,1.29476,0.95344,0.82179,0.67925,0.75391,0.58786,0.79548,0.65935,0.72004,0.48446,0.82207,1.50662,1.2145,0.93117,0.000347561,0.000347561,0.000347561
112,70533.8,0.88691,1.57974,1.29155,0.95448,0.82578,0.67944,0.75439,0.5884,0.80072,0.65803,0.72046,0.48484,0.82199,1.50605,1.21413,0.93116,0.000332298,0.000332298,0.000332298
113,71166.7,0.8901,1.58508,1.29524,0.95547,0.82629,0.67947,0.75503,0.58846,0.80085,0.65999,0.72101,0.48474,0.82187,1.50597,1.21403,0.93105,0.000317333,0.000317333,0.000317333
114,71797.3,0.8853,1.58244,1.29193,0.95408,0.82697,0.67789,0.75473,0.58831,0.80232,0.65939,0.72161,0.48465,0.82164,1.50553,1.21358,0.93093,0.000302672,0.000302672,0.000302672
115,72423.5,0.88622,1.57463,1.29254,0.95479,0.824,0.68035,0.75552,0.58898,0.80555,0.65863,0.72275,0.48512,0.8215,1.50521,1.21314,0.93088,0.000288321,0.000288321,0.000288321
116,73048.6,0.88132,1.57069,1.28181,0.95213,0.82587,0.6798,0.75575,0.58897,0.80727,0.65832,0.72299,0.48527,0.82128,1.50465,1.21241,0.9308,0.000274287,0.000274287,0.000274287
117,73680.4,0.8798,1.56855,1.2765,0.95051,0.8234,0.68041,0.75587,0.58926,0.81,0.65635,0.72313,0.48546,0.8212,1.50451,1.21211,0.93069,0.000260575,0.000260575,0.000260575
118,74327,0.8825,1.57134,1.27816,0.95264,0.83194,0.6751,0.75604,0.58961,0.80816,0.65663,0.72309,0.48579,0.82116,1.50389,1.21201,0.93064,0.000247192,0.000247192,0.000247192
119,74978.4,0.88141,1.57124,1.27743,0.9519,0.83305,0.6741,0.75614,0.58945,0.81387,0.65451,0.72354,0.48574,0.82099,1.50362,1.21143,0.93054,0.000234143,0.000234143,0.000234143
120,75605.6,0.8817,1.57384,1.28056,0.95192,0.83307,0.6753,0.75634,0.58991,0.80944,0.65634,0.72368,0.48536,0.82063,1.50303,1.21109,0.93037,0.000221435,0.000221435,0.000221435
121,76229,0.87977,1.5686,1.27315,0.95323,0.83226,0.67562,0.75645,0.59018,0.81479,0.65263,0.72374,0.48603,0.82056,1.50245,1.2109,0.93029,0.000209073,0.000209073,0.000209073
122,76854.5,0.87996,1.56897,1.27401,0.95147,0.83357,0.67448,0.7567,0.59009,0.81655,0.65242,0.72404,0.48624,0.82044,1.50217,1.21021,0.93019,0.000197062,0.000197062,0.000197062
123,77476.9,0.87433,1.56634,1.26266,0.94972,0.83732,0.67319,0.75695,0.59051,0.81404,0.65487,0.72456,0.486,0.82017,1.50169,1.20966,0.93005,0.000185408,0.000185408,0.000185408
124,78104.6,0.87635,1.55847,1.26237,0.95063,0.83775,0.67321,0.75689,0.59063,0.81342,0.65411,0.72459,0.48635,0.81983,1.50143,1.20881,0.92977,0.000174115,0.000174115,0.000174115
125,78729.7,0.87716,1.56244,1.26762,0.95063,0.8358,0.67409,0.75715,0.59093,0.81205,0.65376,0.72471,0.48644,0.81966,1.50083,1.20845,0.92963,0.000163189,0.000163189,0.000163189
